Id	Sku	Company_name	Company_website	Company_industry	Company_revenue	Company_location	Company_webdomain	Company_employee_size	Description	Contact_name
19.0	Adapt19	AboveNet	http://www.above.net	Telecommunications	\\\\u003e $1B	White Plains, New york, United States	http://www.above.net	\\\\u003e 100K	AboveNet was founded in 2003 and is located at 360 Hamilton Avenue,White Plains,New york,United States. AboveNet has an estimated \\\\u003e 100K employees and an estimated annual revenue of more than \\\\u003e $1B. Adapt has contact details of 66 people working at AboveNet which includes  This includes . You can visit AboveNet website	{name:Anna Thomas,title:Owner Interior Designer,email:a*****@above.net,firstName:Anna,lastName:Thomas,companyName:null,seoPath:anna-thomas/248659304,phone:+1******00},{name:Warren Kaplan,title:Chief Executive Officer,email:w*****@above.net,firstName:Warren,lastName:Kaplan,companyName:null,seoPath:warren-kaplan/378443149,phone:+1******06},{name:Platt Staunton,title:Owner,email:p*****@above.net,firstName:Platt,lastName:Staunton,companyName:null,seoPath:platt-staunton/675343575,phone:+1******00},{name:John Feren,title:Vice President International,email:j*****@above.net,firstName:John,lastName:Feren,companyName:null,seoPath:john-feren/337730754,phone:+1******00},{name:Joseph Ciavarella,title:Senior Vice President and Chief Financial Officer,email:j*****@above.net,firstName:Joseph,lastName:Ciavarella,companyName:null,seoPath:joseph-ciavarella/713189911,phone:+1******00},{name:David Knell,title:Technical Director,email:d*****@above.net,firstName:David,lastName:Knell,companyName:null,seoPath:david-knell/569734715,phone:+1******00},{name:Jeff Hormann,title:CISSP-Director of Information Security and Technical Operations,email:j*****@above.net,firstName:Jeff,lastName:Hormann,companyName:null,seoPath:jeff-hormann/776404544,phone:+1******00},{name:Sheila Chang,title:Director, Human Resources,email:s*****@above.net,firstName:Sheila,lastName:Chang,companyName:null,seoPath:sheila-chang/392078199,phone:+1******00},{name:James Pappas,title:Director, Business Analysis,email:j*****@above.net,firstName:James,lastName:Pappas,companyName:null,seoPath:james-pappas/45587925,phone:+1******00}
23.0	Adapt23	acphotonics	http://www.acphotonics.com	Telecommunications	$1 - 10M	Santa Clara, California, United States	http://www.acphotonics.com	1K - 10K	acphotonics was founded in 1995 and is located at 2302 Walsh Avenue,Santa Clara,California,United States. acphotonics has an estimated 1K - 10K employees and an estimated annual revenue of more than $1 - 10M. Adapt has contact details of 13 people working at acphotonics which includes  This includes . You can visit acphotonics website	{name:Adam Schader,title:Chief Financial Officer,email:a*****@acphotonics.com,firstName:Adam,lastName:Schader,companyName:null,seoPath:adam-schader/594308793,phone:null},{name:Christina Qu,title:Vice President-Sales,email:c*****@acphotonics.com,firstName:Christina,lastName:Qu,companyName:null,seoPath:christina-qu/14723540,phone:null},{name:Henry Chang,title:Account Manager,email:h*****@acphotonics.com,firstName:Henry,lastName:Chang,companyName:null,seoPath:henry-chang/888965721,phone:null},{name:Joyce Wang,title:Account Manager,email:j*****@acphotonics.com,firstName:Joyce,lastName:Wang,companyName:null,seoPath:joyce-wang/848991491,phone:null},{name:Tony Cortez,title:Business Development Manager,email:t*****@acphotonics.com,firstName:Tony,lastName:Cortez,companyName:null,seoPath:tony-cortez/727276401,phone:null},{name:Richard Allen,title:Cost Accounting Manager,email:r*****@acphotonics.com,firstName:Richard,lastName:Allen,companyName:null,seoPath:richard-allen/824252463,phone:null},{name:Tricia Lee,title:Sales Coordinator,email:t*****@acphotonics.com,firstName:Tricia,lastName:Lee,companyName:null,seoPath:tricia-lee/391837758,phone:null},{name:Steve Becker,title:Senior VP, Sales and Marketing,email:s*****@acphotonics.com,firstName:Steve,lastName:Becker,companyName:null,seoPath:steve-becker/350997424,phone:null},{name:Marcella Jiang,title:Sales Support Coordinator,email:m*****@acphotonics.com,firstName:Marcella,lastName:Jiang,companyName:null,seoPath:marcella-jiang/412910901,phone:null}
94.0	Adapt94	Advanced Tower Components	http://www.advancedtowercomponents.com	Telecommunications	$0 - 1M	Salem, Oregon, United States	http://www.advancedtowercomponents.com	25 - 100	Advanced Tower Components was founded in 2008 and is located at 2880 19th Street Southeast,Salem,Oregon,United States. Advanced Tower Components has an estimated 25 - 100 employees and an estimated annual revenue of more than $0 - 1M. Adapt has contact details of 8 people working at Advanced Tower Components which includes  This includes . You can visit Advanced Tower Components website	{name:Tony Strenke,title:President,email:t*****@advancedtowercomponents.com,firstName:Tony,lastName:Strenke,companyName:null,seoPath:tony-strenke/504836380,phone:null},{name:Daniel Harris,title:Vice President of Operations,email:d*****@advancedtowercomponents.com,firstName:Daniel,lastName:Harris,companyName:null,seoPath:daniel-harris/873233426,phone:null},{name:Shane Massey,title:Vice President Operations,email:s*****@advancedtowercomponents.com,firstName:Shane,lastName:Massey,companyName:null,seoPath:shane-massey/614293001,phone:null},{name:Lee Morreale,title:Director of Business Development,email:l*****@advancedtowercomponents.com,firstName:Lee,lastName:Morreale,companyName:null,seoPath:lee-morreale/54641111,phone:null},{name:William Van Roy,title:Production Manager,email:w*****@advancedtowercomponents.com,firstName:William,lastName:Van Roy,companyName:null,seoPath:william-van-roy/507894947,phone:null},{name:Erik Espericueta,title:Seeking new opportunity,email:e*****@advancedtowercomponents.com,firstName:Erik,lastName:Espericueta,companyName:null,seoPath:erik-espericueta/884128778,phone:null},{name:Josh Jenkins,title:Sales,email:j*****@advancedtowercomponents.com,firstName:Josh,lastName:Jenkins,companyName:null,seoPath:josh-jenkins/882205891,phone:null},{name:Whitney Over,title:Welder fitter,email:w*****@advancedtowercomponents.com,firstName:Whitney,lastName:Over,companyName:null,seoPath:whitney-over/476826257,phone:null}
98.0	Adapt98	AdvanceTec Industries, Inc.	http://www.advancetec.com	Telecommunications	$1 - 10M	Miami, Florida, United States	http://www.advancetec.com	100 - 250	AdvanceTec Industries, Inc. was founded in 1987 and is located at 1150 Northwest 163rd Drive,Miami,Florida,United States. AdvanceTec Industries, Inc. has an estimated 100 - 250 employees and an estimated annual revenue of more than $1 - 10M. Adapt has contact details of 19 people working at AdvanceTec Industries, Inc. which includes  This includes . You can visit AdvanceTec Industries, Inc. website	{name:Gil Ron,title:Owner,email:g*****@advancetec.com,firstName:Gil,lastName:Ron,companyName:null,seoPath:gil-ron/882722093,phone:null},{name:Richards Thomas,title:President,email:r*****@advancetec.com,firstName:Richards,lastName:Thomas,companyName:null,seoPath:richards-thomas/421677065,phone:null},{name:David Jameson,title:Regional Sales Director,email:d*****@advancetec.com,firstName:David,lastName:Jameson,companyName:null,seoPath:david-jameson/847962040,phone:null},{name:Bob Wylie,title:Director of Sales and Marketing,email:b*****@advancetec.com,firstName:Bob,lastName:Wylie,companyName:null,seoPath:bob-wylie/358188932,phone:null},{name:Angel Cortes,title:Sales Director - Mobility Division,email:a*****@advancetec.com,firstName:Angel,lastName:Cortes,companyName:null,seoPath:angel-cortes/815687704,phone:null},{name:Mari Naranjo,title:Marketing-Manager/Director,email:m*****@advancetec.com,firstName:Mari,lastName:Naranjo,companyName:null,seoPath:mari-naranjo/793018003,phone:null},{name:Jaime Millan,title:Director of Marketing,email:j*****@advancetec.com,firstName:Jaime,lastName:Millan,companyName:null,seoPath:jaime-millan/351705023,phone:null},{name:Richard Castro,title:Director of Operations,email:r*****@advancetec.com,firstName:Richard,lastName:Castro,companyName:null,seoPath:richard-castro/614765052,phone:null},{name:Ismael Sanchez,title:Senior Northeast Regional Sales and Technical Support Manager,email:i*****@advancetec.com,firstName:Ismael,lastName:Sanchez,companyName:null,seoPath:ismael-sanchez/157884016,phone:null}
123.0	Adapt123	Affirmed Networks	http://www.affirmednetworks.com	Telecommunications	$1 - 10M	Acton,  Massachusetts, United States	http://www.affirmednetworks.com	250 - 1000	Affirmed Networks was founded in 2010 and is located at 35 Nagog Park Suite 200,Acton, Massachusetts,United States. Affirmed Networks has an estimated 250 - 1000 employees and an estimated annual revenue of more than $1 - 10M. Adapt has contact details of 189 people working at Affirmed Networks which includes  This includes . You can visit Affirmed Networks website	{name:Nitish Malhotra,title:Technology Architect | Office of the Chief Technology Officer | Cloud Native 5GC,email:n*****@affirmednetworks.com,firstName:Nitish,lastName:Malhotra,companyName:null,seoPath:nitish-malhotra/700535529,phone:+1******00},{name:Sanjay Mewada,title:Chief Strategy and Marketing Officer,email:s*****@affirmednetworks.com,firstName:Sanjay,lastName:Mewada,companyName:null,seoPath:sanjay-mewada/110339539,phone:+1******00},{name:Amit Tiwari,title:Executive Vice President, Chief Strategic Alliances Officer,email:a*****@affirmednetworks.com,firstName:Amit,lastName:Tiwari,companyName:null,seoPath:amit-tiwari/827181783,phone:+1******00},{name:Rahul Bose,title:Vice President of Engineering,email:r*****@affirmednetworks.com,firstName:Rahul,lastName:Bose,companyName:null,seoPath:rahul-bose/739565806,phone:+1******00},{name:Vincent O\\\Brien,title:Vice President -,email:v*****@affirmednetworks.com,firstName:Vincent,lastName:O\\\Brien,companyName:null,seoPath:vincent-o-brien/495305812,phone:+1******00},{name:Prasasth Palnati,title:Vice President Engineering,email:p*****@affirmednetworks.com,firstName:Prasasth,lastName:Palnati,companyName:null,seoPath:prasasth-palnati/392509169,phone:+1******00},{name:Gary Ropiak,title:Vice President of Software Development, Cloud Native Solutions,email:g*****@affirmednetworks.com,firstName:Gary,lastName:Ropiak,companyName:null,seoPath:gary-ropiak/302875985,phone:+1******00},{name:Amit Tiwari,title:Executive Vice President, Chief Strategic Alliances Officer,email:a*****@affirmednetworks.com,firstName:Amit,lastName:Tiwari,companyName:null,seoPath:amit-tiwari/99629791,phone:+1******00},{name:Greg Sweenie,title:Director Contracts,email:g*****@affirmednetworks.com,firstName:Greg,lastName:Sweenie,companyName:null,seoPath:greg-sweenie/204949905,phone:+1******00}
132.0	Adapt132	Agility Communications Group	http://www.agilitycg.com	Telecommunications	$50 - 100M	Dallas,  Texas, United States	http://www.agilitycg.com	25 - 100	Agility Communications Group was founded in 2007 and is located at 6606 LBJ Freeway Suite 135,Dallas, Texas,United States. Agility Communications Group has an estimated 25 - 100 employees and an estimated annual revenue of more than $50 - 100M. Adapt has contact details of 30 people working at Agility Communications Group which includes  This includes . You can visit Agility Communications Group website	{name:Dijon Cox,title:Vice President of Client Networks,email:d*****@agilitycg.com,firstName:Dijon,lastName:Cox,companyName:null,seoPath:dijon-cox/713479056,phone:null},{name:Amy Reeves,title:Controller,email:a*****@agilitycg.com,firstName:Amy,lastName:Reeves,companyName:null,seoPath:amy-reeves/882392522,phone:+1******02},{name:Laura Dewitt,title:Senior Account Manager,email:l*****@agilitycg.com,firstName:Laura,lastName:Dewitt,companyName:null,seoPath:laura-dewitt/402209828,phone:null},{name:Richard Conklin,title:Telecom Support Manager,email:r*****@agilitycg.com,firstName:Richard,lastName:Conklin,companyName:null,seoPath:richard-conklin/922322111,phone:null},{name:Carley Taglieri,title:Solutions Consultant, Account Mgr, Project Manager,email:c*****@agilitycg.com,firstName:Carley,lastName:Taglieri,companyName:null,seoPath:carley-taglieri/12443097,phone:null},{name:Sarah Wiest,title:Project Manager,email:s*****@agilitycg.com,firstName:Sarah,lastName:Wiest,companyName:null,seoPath:sarah-wiest/762332882,phone:+1******34},{name:James Chadwick,title:Project Manager,email:j*****@agilitycg.com,firstName:James,lastName:Chadwick,companyName:null,seoPath:james-chadwick/467407656,phone:+1******18},{name:Diane Deanda,title:Project Manager,email:d*****@agilitycg.com,firstName:Diane,lastName:Deanda,companyName:null,seoPath:diane-deanda/543753418,phone:+1******27},{name:David Rhoades,title:Project Manager,email:d*****@agilitycg.com,firstName:David,lastName:Rhoades,companyName:null,seoPath:david-rhoades/484003334,phone:null}
152.0	Adapt152	Akuvox	http://www.akuvox.com	Telecommunications		Xiamen, Fujian, China	http://www.akuvox.com	100 - 250	Akuvox was founded in 2012 and is located at GuanRi Road Software Park II,Xiamen,Fujian,China. Akuvox has an estimated 100 - 250 employees and an estimated annual revenue of more than null. Adapt has contact details of 23 people working at Akuvox which includes  This includes . You can visit Akuvox website	{name:Michael Yuan,title:Chief Executive Officer,email:m*****@akuvox.com,firstName:Michael,lastName:Yuan,companyName:null,seoPath:michael-yuan/834741702,phone:null},{name:Bo Yang,title:Sales Director,email:y*****@akuvox.com,firstName:Bo,lastName:Yang,companyName:null,seoPath:bo-yang/371620404,phone:null},{name:Terry Shi,title:Product Director,email:t*****@akuvox.com,firstName:Terry,lastName:Shi,companyName:null,seoPath:terry-shi/743944056,phone:null},{name:Arya Xu,title:Sales Manager,email:a*****@akuvox.com,firstName:Arya,lastName:Xu,companyName:null,seoPath:arya-xu/9462164,phone:null},{name:Igor Pan,title:Sales Manager,email:i*****@akuvox.com,firstName:Igor,lastName:Pan,companyName:null,seoPath:igor-pan/839169626,phone:null},{name:Ken Wu,title:Akuvox Star-net Group Oversea Sales Manager - North America,email:k*****@akuvox.com,firstName:Ken,lastName:Wu,companyName:null,seoPath:ken-wu/164356847,phone:null},{name:Josh Xiu,title:Commercial and Development Manager Eastern and Middle and Southen Europe | Nordic | BENELUX,email:j*****@akuvox.com,firstName:Josh,lastName:Xiu,companyName:null,seoPath:josh-xiu/812046280,phone:null},{name:Aaron Huang,title:Technical Manager,email:a*****@akuvox.com,firstName:Aaron,lastName:Huang,companyName:null,seoPath:aaron-huang/687968981,phone:null},{name:Sonia Zhang,title:Strategic Alliance Manager,email:s*****@akuvox.com,firstName:Sonia,lastName:Zhang,companyName:null,seoPath:sonia-zhang/375459916,phone:null}
161.0	Adapt161	Alien Inc	http://www.alientechnology.com	Telecommunications	$100 - 250M	Morgan Hill, California, United States	http://www.alientechnology.com	100 - 250	Alien Inc was founded in 1994 and is located at 18220 Butterfield Boulevard,Morgan Hill,California,United States. Alien Inc has an estimated 100 - 250 employees and an estimated annual revenue of more than $100 - 250M. Adapt has contact details of 28 people working at Alien Inc which includes  This includes . You can visit Alien Inc website	{name:Ravi Gaglani,title:Proprietor,email:g*****@alientechnology.com,firstName:Ravi,lastName:Gaglani,companyName:null,seoPath:ravi-gaglani/847191033,phone:+1******00},{name:Mark Mcdonald,title:Vice President of Engineering and Solutions,email:m*****@alientechnology.com,firstName:Mark,lastName:Mcdonald,companyName:null,seoPath:mark-mcdonald/838946326,phone:+1******40},{name:Jay Tu,title:Vice President of Operations,email:j*****@alientechnology.com,firstName:Jay,lastName:Tu,companyName:null,seoPath:jay-tu/825576518,phone:+1******00},{name:John Hattick,title:Senior Director, Hardware Development,email:j*****@alientechnology.com,firstName:John,lastName:Hattick,companyName:null,seoPath:john-hattick/87421130,phone:+1******00},{name:Carol Meyers,title:Director of Human Resources and Facilities,email:c*****@alientechnology.com,firstName:Carol,lastName:Meyers,companyName:null,seoPath:carol-meyers/568521297,phone:+1******00},{name:Ron Gilbert,title:Director,email:r*****@alientechnology.com,firstName:Ron,lastName:Gilbert,companyName:null,seoPath:ron-gilbert/140668857,phone:+1******00},{name:Caela Monahan,title:Manager, Sales Operations Support,email:p*****@alientechnology.com,firstName:Caela,lastName:Monahan,companyName:null,seoPath:caela-monahan/957896600,phone:+1******44},{name:Hai Nguyen,title:Manager, Information Technology,email:h*****@alientechnology.com,firstName:Hai,lastName:Nguyen,companyName:null,seoPath:hai-nguyen/701748522,phone:+1******95},{name:Mike Gallagher,title:Commodity Manager,email:m*****@alientechnology.com,firstName:Mike,lastName:Gallagher,companyName:null,seoPath:mike-gallagher/542380469,phone:+1******31}
162.0	Adapt162	Alive Telecom	http://www.alivetele.com	Telecommunications	$0 - 1M	Mokena,  Illinois, United States	http://www.alivetele.com	25 - 100	Alive Telecom was founded in 2001 and is located at 9850 West 190th Street Suite F,Mokena, Illinois,United States. Alive Telecom has an estimated 25 - 100 employees and an estimated annual revenue of more than $0 - 1M. Adapt has contact details of 4 people working at Alive Telecom which includes  This includes . You can visit Alive Telecom website	{name:Dan Barton,title:President / Director of Engineering,email:d*****@alivetele.com,firstName:Dan,lastName:Barton,companyName:null,seoPath:dan-barton/896460815,phone:null},{name:Diane Mistretta,title:Office Manager,email:d*****@alivetele.com,firstName:Diane,lastName:Mistretta,companyName:null,seoPath:diane-mistretta/3801994,phone:null},{name:Rick Feliksik,title:Assembly Technician,email:r*****@alivetele.com,firstName:Rick,lastName:Feliksik,companyName:null,seoPath:rick-feliksik/959494367,phone:null},{name:Daniel Moriarty,title:Mechanical Engineer,email:d*****@alivetele.com,firstName:Daniel,lastName:Moriarty,companyName:null,seoPath:daniel-moriarty/534477721,phone:null}
196.0	Adapt196	Alpine Power Systems	http://www.alpinepowersystems.com	Telecommunications	$50 - 100M	Redford,  Michigan, United States	http://www.alpinepowersystems.com	250 - 1000	Alpine Power Systems was founded in 1963 and is located at 24355 Capitol,Redford, Michigan,United States. Alpine Power Systems has an estimated 250 - 1000 employees and an estimated annual revenue of more than $50 - 100M. Adapt has contact details of 65 people working at Alpine Power Systems which includes  This includes . You can visit Alpine Power Systems website	{name:Wyatt Doyle,title:Texas Motive General Manager PM Fleet and Information Systems Manager,email:w*****@alpinepowersystems.com,firstName:Wyatt,lastName:Doyle,companyName:null,seoPath:wyatt-doyle/725216138,phone:null},{name:Brenda Fellows,title:Vice President National Operations,email:b*****@alpinepowersystems.com,firstName:Brenda,lastName:Fellows,companyName:null,seoPath:brenda-fellows/493607336,phone:null},{name:Sean Davis,title:Vice President of Sales,email:s*****@alpinepowersystems.com,firstName:Sean,lastName:Davis,companyName:null,seoPath:sean-davis/752039400,phone:null},{name:Sal Warmann,title:Director, Information Technology,email:s*****@alpinepowersystems.com,firstName:Sal,lastName:Warmann,companyName:null,seoPath:sal-warmann/126035319,phone:null},{name:Jon Centella,title:Director of Sales - Critical Power,email:j*****@alpinepowersystems.com,firstName:Jon,lastName:Centella,companyName:null,seoPath:jon-centella/777756969,phone:null},{name:Ryan Cox,title:Director of Finance,email:r*****@alpinepowersystems.com,firstName:Ryan,lastName:Cox,companyName:null,seoPath:ryan-cox/736016018,phone:null},{name:Dave Hulan,title:Director of Operations Cable Broadband Division,email:d*****@alpinepowersystems.com,firstName:Dave,lastName:Hulan,companyName:null,seoPath:dave-hulan/967701840,phone:null},{name:Ryan Tithof,title:National Account Executive,email:r*****@alpinepowersystems.com,firstName:Ryan,lastName:Tithof,companyName:null,seoPath:ryan-tithof/79765531,phone:null},{name:Jd Grodhaus,title:Critical Power Sales Manager,email:j*****@alpinepowersystems.com,firstName:Jd,lastName:Grodhaus,companyName:null,seoPath:jd-grodhaus/261691636,phone:null}
